id,fax_id,date,container,shipper,consignee,port,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
70221-2-442GERHAIVIAFRI280CAR-1,70221,8/9/2020,2,GERBER AGRI INTERNATIONAL LLC,HAITI FOOD SUPPLY SA,MIAMI - FL,USA,53343.36,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",2800,CARTON,AS SAVANNA,17S,SEABOARD MARINE,1,2,0,53343.36,25.77389,-80.193886
70307-1-441CARDIRLUNION106CAR-1,70307,8/10/2020,1,CARIBBEAN DISASTER EMERGENCY MGT AG,DIRECTION P. CIVIL,KINGSTON,JAMAICA,8660.14,LUNETTE DE PROTECTION,106,CARTON,AS SAMANTA,17N,SEABOARD MARINE,0.5,0.5,0,4330.07,17.995147,-76.7846006
70403-1-441TMEOPSVOISUV1UNI-1,70403,8/11/2020,1,TME,OPS / OMS,ALGECIRAS,SPAIN,2276.77,VOITURES SUV,1,UNITES,ACRUX N,139N,MAERSK LINE,1,1,0,2276.77,36.13326,-5.45051
70500-8-448BILNABPAPCE)230CAI-1,70500,8/12/2020,8,BILLERUDKORSNAS AB,NATIONAL BAG AND TRADING CO SA,GOTHENBURG,SWEDEN,197233,"PAPIER ET CARTON KRAFT (COUVERTURE, SAC GRANDE CONTENANCE)",230,CAISSES,NEWYORKER,PD031A,MEDITERRANEAN SHIPPING CO,1,8,0,197233,57.716667,11.966667
70593-10-4410PARPAREFFELS9PIE-2,70593,8/12/2020,10,PARTICULIER,PARTICULIER,MIAMI - FL,USA,152802.9,EFFETS PERSONNELS,9,PIECES,SARA EXPRESS,736S,ANTILLEAN MARINE SHIPPING  CORP,0.166666667,1.666666667,0,25467.15,25.77389,-80.193886
70679-2-442BRIASSSELIUM1SAC-1,70679,8/16/2020,2,BRINSA SA,ASSOCIATED FOOD DISTRIBUTORS SA,RIO HAINA,DOMINICAN REPUBLIC,50424,SEL ET CHLORURE DE SODIUM,1,"SACS, SACHETS",AS FABRIZIA,032N,SEALAND,1,2,0,50424,18.417,-70.017
70773-1-441GAOHAIPAPSSE999CAR-1,70773,8/16/2020,1,GAOMI ZHAOER PACKAGING PRODUCTS,HAITI CHEUNG WON SA,QINGDAO,CHINA,14975,"PAPIER ET CARTON ONDULE,CREPE,PLISSE",999,CARTON,PAJANG,163E,ZIM LINES,1,1,0,14975,36.09861,120.37194
70862-4-444NANSOCMACQUE39PIE-2,70862,8/17/2020,4,NANTONG RONGCHANG IMPORT & EXPORT,SOCIETE AGRO INDUSTRIELLE ANACAONA SA,CHANGSHU,CHINA,47375,MACHINES POUR TRAVAILLER CAOUTCHOUC OU PLASTIQUE,39,PIECES,YERUPAJA,1901DS,CMA/CGM,0.5,2,0,23687.5,31.644482,120.73796
70957-4-444PARPAREFFELS4LOT-1,70957,8/18/2020,4,PARTICULIER,PARTICULIER,MIAMI - FL,USA,61053.6,EFFETS PERSONNELS,4,LOTS,BABUN EXPRESS,147S,ANTILLEAN MARINE SHIPPING  CORP,0.333333333,1.333333333,0,20351.2,25.77389,-80.193886
71052-1-441KAPTASVIAFRI275CAR-1,71052,8/18/2020,1,KAPPERS FOODS BV,TASHA STORE SA,ROTTERDAM,NETHERLANDS,29150,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",2750,CARTON,LOUISIANA TRADER,140N,MAERSK LINE,1,1,0,29150,51.916668,4.5
